RMSD,Time 
1.08,0.3269119
1.09,0.343534
1.1,0.3430578
1.11,0.3217749
1.12,0.3313499
1.13,0.3339386
1.1400001,0.3302544
1.1500001,0.3406231
1.1600001,0.3360007
1.1700001,0.3314585
1.1800001,0.3283133
1.1900001,0.3269652
1.2,0.3428693
1.21,0.3329233
1.22,0.3285709
1.23,0.340856
1.24,0.3395683
1.25,0.3387968
1.2600001,0.3362685
1.2700001,0.3477293
1.2800001,0.3494447
1.2900001,0.3287942
1.3000001,0.3360866
1.3100001,0.3274112
1.3200001,0.329155
1.33,0.3409936
1.34,0.3286668
1.35,0.3348948
1.36,0.3433244
1.3700001,0.3318509
1.3800001,0.3296671
1.3900001,0.3364442
1.4000001,0.3311157
1.4100001,0.3338341
1.4200001,0.3303561
1.4300001,0.3320056
1.4400001,0.3319622
1.45,0.3307466
1.46,0.3332148
1.47,0.3317058
1.48,0.3443926
1.4900001,0.3302138
1.5000001,0.3307894
1.5100001,0.3235923
1.5200001,0.3232934
1.5300001,0.3395596
1.5400001,0.3377686
1.5500001,0.335102
1.5600001,0.3237203
1.5700001,0.3307511
1.58,0.3364032
1.59,0.3404993
1.6,0.3278108
1.6100001,0.3539842
1.6200001,0.3434971
1.6300001,0.3364087
1.6400001,0.3394351
1.6500001,0.3373852
1.6600001,0.3286229
1.6700001,0.3410899
1.6800001,0.3243438
1.6900001,0.3515402
1.7,0.3408673
1.71,0.3436732
1.72,0.3425211
1.7300001,0.3422784
1.7400001,0.331945
1.7500001,0.3477322
1.7600001,0.3387237
1.7700001,0.3430119
1.7800001,0.3468117
1.7900001,0.3471442
1.8000001,0.3182971
1.8100001,0.3215579
1.8200001,0.347429
1.83,0.3351183
1.84,0.33396
1.8500001,0.3411254
1.8600001,0.3437799
1.8700001,0.3481662
1.8800001,0.3414018
1.8900001,0.3448826
1.9000001,0.3398196
1.9100001,0.346449
1.9200001,0.3307535
1.9300001,0.3375361
1.9400001,0.3454334
1.95,0.3541821
1.96,0.3388329
1.9700001,0.34452
1.9800001,0.3436653
1.9900001,0.3442441
2,0.3603018
2.01,0.3396896
2.02,0.3410313
2.0300002,0.3376688
2.0400002,0.3288195
2.0500002,0.3382744
2.0600002,0.3318585
2.0700002,0.3374111
2.0800002,0.3339355
2.0900002,0.3347755
2.1000001,0.3362646
2.1100001,0.3306922
2.1200001,0.3353978
2.1300001,0.3485686
2.1400001,0.3412111
2.1500001,0.3425772
2.1600001,0.3452132
2.1700001,0.3378249
2.1800001,0.3404615
2.1900001,0.3359483
2.2,0.3400989
2.21,0.3356774
2.22,0.335321
2.23,0.3298947
2.24,0.3328485
2.25,0.3499898
2.26,0.355898
2.2700002,0.351141
2.2800002,0.3464832
2.2900002,0.358402
2.3000002,0.3504281
2.3100002,0.3541733
2.3200002,0.3520268
2.3300002,0.3546607
2.3400002,0.3547125
2.3500001,0.3570887
2.3600001,0.3523391
2.3700001,0.3617644
2.3800001,0.3611702
2.3900001,0.3450717
2.4000001,0.3625122
2.4100001,0.3508004
2.4200001,0.3610631
2.4300001,0.3503746
2.4400001,0.3597693
2.45,0.3493607
2.46,0.3354027
2.47,0.3543888
2.48,0.3429144
2.49,0.328259
2.5,0.3315665
2.5100002,0.3610952
2.5200002,0.3573597
2.5300002,0.3578345
2.5400002,0.3536409
2.5500002,0.3534273
2.5600002,0.3516161
2.5700002,0.3513783
2.5800002,0.3506467
2.5900002,0.364805
2.6000001,0.3491557
2.6100001,0.3533618
2.6200001,0.3565032
2.6300001,0.3519145
2.6400001,0.3529642
2.6500001,0.3619687
2.6600001,0.3507346
2.6700001,0.356152
2.6800001,0.3542579
2.6900001,0.3595135
2.7,0.3536016
2.71,0.358082
2.72,0.3587013
2.73,0.3582134
2.7400002,0.3539943
2.7500002,0.3604145
2.7600002,0.3532173
2.7700002,0.358441
2.7800002,0.3507897
2.7900002,0.3531811
2.8000002,0.3497317
2.8100002,0.358348
2.8200002,0.3527187
2.8300002,0.3544431
2.8400002,0.3540958
2.8500001,0.3531919
2.8600001,0.3483248
2.8700001,0.3532499
2.8800001,0.3713296
2.8900001,0.3599789
2.9000001,0.354757
2.9100001,0.3526214
2.9200001,0.3549125
2.9300001,0.3523888
2.9400001,0.3540546
2.95,0.3501181
2.96,0.3542569
2.97,0.3535878
2.9800003,0.3595548
2.9900002,0.3524529
3.0000002,0.3551137
3.0100002,0.3604492
3.0200002,0.3485757
3.0300002,0.3467689
3.0400002,0.3563041
3.0500002,0.3578175
3.0600002,0.3547475
3.0700002,0.3560213
3.0800002,0.3536494
3.0900002,0.3550133
3.1000001,0.3595383
3.1100001,0.3503774
3.1200001,0.3575518
3.1300001,0.35482
3.1400001,0.3615334
3.1500001,0.3586686
3.1600001,0.3484218
3.1700001,0.3590677
3.1800001,0.3597805
3.1900001,0.3603396
3.2,0.3585273
3.21,0.3573074
3.2200003,0.3542579
3.2300003,0.3607865
3.2400002,0.3626178
3.2500002,0.3540304
3.2600002,0.3583823
3.2700002,0.3554489
3.2800002,0.3550607
3.2900002,0.3545044
3.3000002,0.3597796
3.3100002,0.3591764
3.3200002,0.3528267
3.3300002,0.3515946
3.3400002,0.3570721
3.3500001,0.3553035
3.3600001,0.3601433
3.3700001,0.3555593
3.3800001,0.3554149
3.3900001,0.3551652
3.4000001,0.3596863
3.4100001,0.3621429
3.4200001,0.3565308
3.4300001,0.3589622
3.4400001,0.3563604
3.45,0.3606361
3.4600003,0.3539176
3.4700003,0.3608094
